ID,electricity_consumption
552,202.88525421852984
553,207.0174558075467
554,202.50958472397363
555,206.07844906830326
556,258.070106170653
557,238.95053115695075
558,267.11008197744997
559,430.8232071469349
560,273.6575306828718
561,257.9475708268191
562,268.47152964415704
563,254.40397607723398
564,243.5387495024694
565,291.58227703171633
566,259.25858182257696
567,268.22096116853425
568,275.27662424273365
569,259.1842916048085
570,228.82068479283626
571,260.56843333792904
572,374.61752686997875
573,274.90203675567443
574,257.98030299444366
575,335.97646703598826
576,228.0765619801905
577,314.3399901585856
578,261.9746828280656
579,263.315363113671
580,237.59457014880394
581,225.97922238316872
582,231.233703876752
583,221.0104769868124
584,212.6297270830227
585,209.81288025332776
586,211.00332078716372
587,250.74469447663006
588,209.11958866938207
589,204.62840964843522
590,204.59034487289873
591,203.6178542114708
592,204.35284270716002
593,203.1184051147618
594,203.3398662426077
595,229.38129048926675
596,217.64420632421067
597,256.40744198494895
598,267.03735538486677
599,237.0679516617105
600,245.46629586981956
601,217.79136297221626
602,214.5685229860009
603,231.74161836968204
604,246.95359764016578
605,225.8121514991675
606,225.0257079557323
607,237.2584859067021
608,221.68359155834523
609,237.47129543794966
610,223.66142428582276
611,213.7382877620968
612,267.7397290979587
613,284.38524174378904
614,257.1755470856887
615,246.9536566443086
616,272.5860177954365
617,274.4169851854905
618,277.8503034011573
619,341.63213060292014
620,276.41891927004576
621,273.42894530228995
622,273.26074184757186
623,237.933314133926
624,244.76104140523
625,249.52258973571435
626,224.55665629430732
627,234.77461068818337
628,213.83431240148133
629,213.79546075062927
630,211.69935790520307
631,208.28804235372237
632,227.27973686654042
633,215.07362541897862
634,216.90255669842009
635,221.56801955241724
636,220.08707333023477
637,259.07402546902676
638,235.2698006505642
639,256.2429819945092
640,237.44618927062515
641,239.21613546673504
642,214.23769743015544
643,214.83305537890897
644,231.2825898600299
645,215.42078487033766
646,222.74333079343086
647,242.64721731061204
648,217.06927645065116
649,229.76739119553287
650,218.73883880146226
651,216.14589549043095
652,214.5639135313284
653,216.41460968137616
654,215.33629952345638
655,209.969592166728
656,270.925214856886
657,217.65845193996586
658,219.75181363620297
659,224.21266350587507
660,217.2202960331715
661,216.9182547574233
662,217.94720935992905
663,218.35132387845118
664,204.60070287446533
665,205.42531326648503
666,205.52800068936912
667,204.84269215409273
668,205.51235217924696
669,204.7738465612882
670,204.72514025771486
671,206.62334966056224
672,204.5898189070804
673,204.04610177241796
674,204.21846851542284
675,204.74840645763845
676,217.8768774604635
677,202.51656584475188
678,202.26448327511443
679,202.4232920734229
680,201.5846969444367
681,232.20188838804876
682,215.0763159190683
683,254.35098314452793
684,227.32514614735578
685,221.21794498974225
686,216.66441578758258
687,219.699784822624
688,210.69365753804556
689,214.25789945256423
690,207.03453215152228
691,207.86212707294652
692,207.17657856152925
693,206.3275501347152
694,205.87723954706607
695,209.5933839636769
696,204.8206013998
697,205.12260132287716
698,208.842611511349
699,204.24329773444234
700,210.53256721177058
701,203.97575180923417
702,207.559544366263
703,203.2665440930684
704,202.33346927732106
705,201.0536785649804
706,200.80790234119274
707,202.7969459396531
708,200.0672873829225
709,199.75132255815709
710,200.1895934276632
711,200.08752969883813
712,199.9076506598097
713,199.46475437528375
714,199.41774973086152
715,200.1859815180569
716,200.15513843883502
717,200.08625350268608
718,272.9780058307361
719,273.36038917049984
720,266.75033424735534
721,249.4191479517905
722,232.51429863649247
723,236.61330994616281
724,231.44703965962216
725,234.3838165748561
726,348.5386957430325
727,303.91217171753806
728,238.49815746715805
729,260.6397014039498
730,233.0936927213165
731,232.5429222602582
732,228.57583450482846
733,221.43742817896575
734,219.95098560783862
735,215.46792477004846
736,210.16487925245164
737,218.08838426236576
738,214.34777911401503
739,212.83039582815854
740,205.15531382963513
741,208.12772419294643
742,206.47398402135175
743,206.8412897037233
1296,345.3502374389407
1297,372.06947492832137
1298,375.66151791116766
1299,349.7426194588359
1300,337.9810093588796
1301,328.5517563866446
1302,304.5715348649517
1303,299.9789938949273
1304,266.4618593053928
1305,267.22895016876396
1306,246.50142384012625
1307,224.38066595095626
1308,229.71509424534227
1309,214.48521377038082
1310,225.80162619304218
1311,211.15050381137382
1312,216.76161994596717
1313,220.47365033745191
1314,267.62401202428646
1315,226.2914259613338
1316,381.5204999058688
1317,380.58481653251397
1318,376.11882974422923
1319,391.55688054873104
1320,400.21123554653315
1321,397.79951268050684
1322,471.9954409325074
1323,470.9553978828168
1324,471.1770498644032
1325,474.91805578485133
1326,484.72762881714885
1327,483.6267090775163
1328,473.0771192827402
1329,408.7455055188041
1330,340.2353451538195
1331,357.7354653784363
1332,357.4225162899017
1333,281.6710037779018
1334,258.09750746078845
1335,324.2460030064428
1336,259.45364282932024
1337,292.9189705304615
1338,244.72779894448257
1339,265.20019049649983
1340,260.6150046081568
